,name,position,nation,age,club,league,mins_played,ninety_mins_played,goals_scored,penalty_goals,non_pen_exp_goals,exp_goals,assists,exp_assists,total_shots,shots_on_target,goals_per_shot,goals_per_sot,shot_on_target_perc,avg_shot_distance,key_passes,shot_creation_per_90,goal_creation_per_90,pass_completion_perc,progressive_carries,total_carries,total_touches,touches_in_attacking_third,touches_in_pen,progressive_runs,times_dispossessed,passes_received,aerial_duels_won,aerial_duels_lost,aerial_duel_win_perc,tackles,tackles_and_interceptions,goals_per_ninety,exp_goals_per_ninety,goals_minus_exp_goals
356,Nicolas Jackson,FW,sn SEN,23.0,Chelsea,eng Premier League,2220,24.7,10,0,12.3,12.3,5,4.3,76,34,0.13157894736842105,0.29411764705882354,44.73684210526316,12.9,28,2.8,0.41,75.9,47,417,687,9,141,129,41,514,21,5,80.76923076923077,22,25,0.4048582995951417,0.49797570850202433,-2.3000000000000007
361,Nicolás Paz,"MF,FW",ar ARG,20.0,Como,it Serie A,2687,29.9,6,0,8.5,9.3,8,5.999999999999999,109,37,0.05504587155963303,0.16216216216216217,33.94495412844037,20.699999999999996,54,4.82,0.54,80.6,77,1093,1683,7,85,171,45,1265,31,27,53.44827586206896,51,72,0.20066889632107024,0.3110367892976589,-3.3000000000000007
362,Nikola Krstović,FW,me MNE,25.0,Lecce,it Serie A,3057,34.0,11,2,9.7,12.1,5,2.9,134,38,0.08208955223880597,0.2894736842105263,28.35820895522388,18.8,30,2.56,0.21,66.4,42,571,1051,7,152,149,40,786,91,9,91.0,18,25,0.3235294117647059,0.3558823529411765,-1.0999999999999996
365,Noni Madueke,FW,eng ENG,23.0,Chelsea,eng Premier League,2033,22.6,7,0,9.6,9.6,3,4.2,80,30,0.0875,0.23333333333333334,37.5,14.4,32,3.5,0.35,77.4,154,641,980,5,184,226,25,756,11,24,31.428571428571427,25,35,0.30973451327433627,0.42477876106194684,-2.5999999999999996
369,Ollie Watkins,FW,eng ENG,29.0,Aston Villa,eng Premier League,2598,28.9,16,2,13.8,15.3,8,3.3,82,36,0.1951219512195122,0.4444444444444444,43.90243902439025,12.1,24,1.84,0.4199999999999999,72.4,55,409,695,4,168,165,50,552,52,8,86.66666666666667,10,18,0.5536332179930796,0.5294117647058824,0.6999999999999993
370,Omar Marmoush,FW,eg EGY,26.0,"Manchester City, Eint Frankfurt","eng Premier League, de Bundesliga",2623,29.200000000000003,22,2,6.492465753424656,7.319520547945205,9,4.674657534246575,124,51,0.1774193548387097,0.43137254901960786,41.12903225806452,18.29758064516129,49,4.462157534246575,0.7895890410958903,73.83200000000001,102,762,1175,11,177,203,56,844,12,12,50.0,25,33,0.7534246575342465,0.25066851191593165,14.680479452054795
375,Ousmane Dembélé,FW,fr FRA,28.0,Paris S-G,fr Ligue 1,1730,19.2,21,1,15.8,16.6,6,8.2,96,49,0.21875,0.42857142857142855,51.041666666666664,16.0,63,5.72,0.78,79.0,127,878,1323,4,161,252,32,1127,4,8,33.33333333333333,11,20,1.09375,0.8645833333333335,4.399999999999999
378,Patrick Cutrone,FW,it ITA,27.0,Como,it Serie A,2047,22.7,7,0,6.3,7.1,4,2.1,69,26,0.10144927536231885,0.2692307692307692,37.68115942028986,15.900000000000002,19,2.15,0.26,70.3,53,445,692,6,119,155,26,508,23,7,76.66666666666667,16,21,0.30837004405286345,0.31277533039647576,-0.09999999999999964
381,Patrik Schick,FW,cz CZE,29.0,Leverkusen,de Bundesliga,1684,18.7,21,1,11.9,12.7,0,0.6,68,32,0.3088235294117647,0.65625,47.05882352941176,11.8,11,1.82,0.16,78.0,7,312,578,2,108,107,30,452,45,4,91.83673469387756,6,10,1.1229946524064172,0.6791443850267379,8.3
384,Paulo Dybala,"FW,MF",ar ARG,31.0,Roma,it Serie A,1417,15.7,6,3,4.0,6.4,3,5.0,47,15,0.1276595744680851,0.4,31.914893617021278,21.1,40,5.34,0.51,81.8,41,595,909,5,75,122,28,709,8,11,42.10526315789473,17,19,0.3821656050955414,0.40764331210191085,-0.40000000000000036
