,name,position,nation,age,club,league,mins_played,ninety_mins_played,goals_scored,penalty_goals,non_pen_exp_goals,exp_goals,assists,exp_assists,total_shots,shots_on_target,goals_per_shot,goals_per_sot,shot_on_target_perc,avg_shot_distance,key_passes,shot_creation_per_90,goal_creation_per_90,pass_completion_perc,progressive_carries,total_carries,total_touches,touches_in_attacking_third,touches_in_pen,progressive_runs,times_dispossessed,passes_received,aerial_duels_won,aerial_duels_lost,aerial_duel_win_perc,tackles,tackles_and_interceptions
301,Fermin López,"MF,FW",es ESP,22.0,Barcelona,es La Liga,1252,13.9,6,0,5.6000000000000005,5.6000000000000005,5,3.9,41,15,0.15,0.4,36.6,18.0,29,4.1,0.5,81.90000000000002,31,491,858,7,59,108,16,649,9,25,33.3,19,24
302,Ferrán Torres,"FW,MF",es ESP,25.0,Barcelona,es La Liga,1106,12.3,10,0,8.0,8.0,6,3.1,48,22,0.21,0.45,45.79999999999999,14.6,19,3.09,0.57,74.2,23,291,498,3,81,98,13,397,5,5,35.7,8,12
304,Fisayo Dele-Bashiru,"MF,FW",ng NGA,24.0,Lazio,it Serie A,947,10.5,3,0,1.1,1.1,1,0.8,16,5,0.19,0.6,31.3,20.9,10,2.28,0.09,87.70000000000002,23,257,436,4,29,57,17,335,3,4,18.8,10,14
308,Florian Sotoca,"FW,MF",fr FRA,34.0,Lens,fr Ligue 1,1794,19.9,1,0,4.6,4.6,1,1.5,47,18,0.02,0.060000000000000005,38.3,14.7,18,2.66,0.15,73.5,44,679,1186,11,89,170,22,932,43,10,62.29999999999999,22,36
309,Florian Thauvin,"FW,MF",fr FRA,32.0,Udinese,it Serie A,1956,21.7,8,1,5.7,8.1,3,3.8,51,23,0.14,0.3,45.1,18.5,39,4.28,0.4099999999999999,66.4,92,682,1062,3,82,148,38,790,5,15,33.3,20,27
310,Florian Wirtz,"MF,FW",de GER,22.0,Leverkusen,de Bundesliga,2351,26.1,10,2,6.1,9.4,12,7.0,74,35,0.11000000000000001,0.23,47.3,19.7,57,5.659999999999999,0.99,78.3,131,1217,2096,10,137,309,47,1638,9,13,20.0,32,42
315,Francisco Conceição,"FW,MF",pt POR,22.0,Juventus,it Serie A,1340,14.9,3,0,2.3,2.3,3,4.3,40,13,0.08,0.23,32.5,18.1,28,4.3,0.6,78.3,95,548,739,8,92,143,22,581,2,17,18.2,23,29
317,Franck Honorat,FW,fr FRA,28.0,Gladbach,de Bundesliga,1439,16.0,4,0,4.5,4.5,7,5.3,31,9,0.13,0.44,29.0,15.2,50,5.19,0.5,67.5,63,373,762,3,60,124,12,456,9,6,42.9,17,22
319,Frank Magri,"FW,MF",cm CMR,25.0,Toulouse,fr Ligue 1,1516,16.8,5,0,6.0,6.0,1,1.5,44,18,0.11,0.28,40.9,12.4,9,1.72,0.18,70.9,17,244,420,1,70,80,31,316,40,5,32.8,8,12
320,Fábio Silva,FW,pt POR,22.0,Las Palmas,es La Liga,1866,20.7,10,2,6.3999999999999995,8.8,3,2.0,46,20,0.17,0.4,43.5,14.8,16,2.08,0.24000000000000002,66.3,30,330,706,3,101,119,30,491,51,10,49.5,12,16
321,Félix Lemaréchal,"MF,FW",fr FRA,21.0,Strasbourg,fr Ligue 1,1779,19.8,4,0,3.4999999999999996,3.4999999999999996,3,2.9,25,9,0.16,0.44,36.0,14.4,29,2.83,0.3,79.4,35,466,935,5,56,90,22,627,14,15,35.9,35,49
325,Gabriel Martinelli,"FW,MF",br BRA,23.0,Arsenal,eng Premier League,2291,25.5,8,0,7.4,7.4,4,5.0,55,24,0.15,0.33,43.6,12.9,40,2.91,0.27,71.4,124,670,994,8,182,289,38,752,17,16,30.4,23,28
327,Gabriel Strefezza,"FW,MF",br BRA,28.0,Como,it Serie A,2619,29.1,6,0,3.7,3.7,4,3.9,58,21,0.1,0.29,36.2,20.5,57,3.82,0.14,75.6,80,1033,1483,17,93,190,53,1110,10,34,29.4,57,70
329,Gaetano Oristanio,"FW,MF",it ITA,22.0,Venezia,it Serie A,2315,25.7,3,0,4.1,4.1,3,2.6000000000000005,44,12,0.07,0.25,27.3,17.1,33,2.68,0.27,69.3,72,543,758,4,88,131,72,569,14,8,26.9,17,23
330,Gavi,"MF,FW",es ESP,20.0,Barcelona,es La Liga,1085,12.1,1,0,0.9,0.9,1,1.6,11,1,0.09,1.0,9.1,15.3,14,3.24,0.33,90.0,13,557,943,5,34,42,9,713,21,11,44.7,30,40
331,Gaëtan Laborde,FW,fr FRA,31.0,Nice,fr Ligue 1,1829,20.3,11,4,8.6,11.7,4,3.4999999999999996,70,20,0.1,0.35,28.6,14.6,27,3.1,0.34,69.6,30,362,730,2,127,131,18,494,48,13,50.5,19,25
332,Gaëtan Perrin,"MF,FW",fr FRA,28.0,Auxerre,fr Ligue 1,2691,29.9,10,0,6.1,6.1,11,7.8,59,26,0.17,0.38,44.1,19.2,73,4.18,0.6,70.6,83,798,1327,15,98,125,63,888,3,27,18.8,49,61
335,Georges Mikautadze,FW,ge GEO,24.0,Lyon,fr Ligue 1,1449,16.1,11,3,7.0,10.3,6,4.3,52,22,0.15,0.36,42.3,14.099999999999998,21,3.05,0.75,76.5,37,402,653,3,119,140,20,510,15,6,27.300000000000004,7,11
336,Georginio Rutter,"MF,FW",fr FRA,23.0,Brighton,eng Premier League,1656,18.4,5,0,4.6,4.6,3,2.5,50,12,0.1,0.42,24.0,15.5,19,3.47,0.43,66.8,42,361,641,8,79,79,37,411,25,22,35.2,39,49
338,Gerrit Holtmann,"DF,FW",ph PHI,30.0,Bochum,de Bundesliga,1136,12.6,2,0,2.0,2.0,1,2.9,31,8,0.06,0.25,25.8,21.4,20,3.4,0.24000000000000002,65.7,50,336,571,2,28,97,10,353,12,12,42.9,24,40
339,Giacomo Raspadori,"FW,MF",it ITA,25.0,Napoli,it Serie A,1103,12.3,6,0,4.0,4.0,1,2.4,42,14,0.14,0.43,33.3,16.0,28,4.16,0.33,68.3,18,263,549,2,54,57,9,343,5,4,31.299999999999997,18,21
340,Gianluca Caprari,"MF,FW",it ITA,31.0,Monza,it Serie A,1651,18.3,3,2,2.6,4.2,2,2.4,28,9,0.04,0.11,32.1,22.0,30,3.43,0.27,79.1,43,629,912,3,39,104,31,686,4,7,22.2,19,27
341,Gianluca Gaetano,"MF,FW",it ITA,25.0,Cagliari,it Serie A,1009,11.2,2,0,4.9,4.9,4,2.2,30,6,0.07,0.33,20.0,17.2,22,4.28,0.45,72.3,11,297,490,1,43,82,16,356,10,10,33.3,11,17
345,Giorgos Masouras,"FW,MF",gr GRE,31.0,Bochum,de Bundesliga,1055,11.7,2,0,3.9,3.9,1,1.1,30,15,0.07,0.13,50.0,14.5,10,2.47,0.43,70.4,26,220,403,5,53,82,6,260,26,9,41.9,18,22
346,Giovani Lo Celso,"MF,FW",ar ARG,29.0,Betis,es La Liga,1457,16.2,8,2,2.4,4.8,3,4.9,31,16,0.19,0.38,51.6,22.0,43,5.74,0.56,79.0,26,702,1167,9,53,66,31,832,5,8,31.300000000000004,34,39
348,Giuseppe Pezzella,"DF,FW",it ITA,27.0,Empoli,it Serie A,2878,32.0,0,0,0.6,0.6,3,4.6,15,3,0.0,0.0,20.0,20.6,36,1.85,0.16,66.5,77,673,1579,10,33,143,32,778,36,28,65.5,55,70
351,Gonçalo Guedes,"MF,FW",pt POR,28.0,Wolves,eng Premier League,995,11.1,2,0,3.2,3.2,4,1.3,27,8,0.07,0.25,29.6,18.9,14,2.71,0.72,74.2,41,304,484,8,40,79,18,337,5,12,27.8,16,21
352,Gonçalo Ramos,FW,pt POR,23.0,Paris S-G,fr Ligue 1,1066,11.8,10,2,11.299999999999999,13.600000000000001,3,2.2,52,29,0.15,0.28,55.8,11.3,15,2.54,0.51,80.1,11,155,353,1,97,63,11,282,20,3,57.1,11,11
