,name,position,nation,age,club,league,mins_played,ninety_mins_played,goals_scored,penalty_goals,non_pen_exp_goals,exp_goals,assists,exp_assists,total_shots,shots_on_target,goals_per_shot,goals_per_sot,shot_on_target_perc,avg_shot_distance,key_passes,shot_creation_per_90,goal_creation_per_90,pass_completion_perc,progressive_carries,total_carries,total_touches,touches_in_attacking_third,touches_in_pen,progressive_runs,times_dispossessed,passes_received,aerial_duels_won,aerial_duels_lost,aerial_duel_win_perc,tackles,tackles_and_interceptions
391,Isaac Palazón Camacho,"MF,FW",es ESP,30.0,Rayo Vallecano,es La Liga,2162,24.0,4,0,4.7,4.7,4,4.4,61,18,0.07,0.22,29.5,22.3,48,4.57,0.21,77.1,30,716,1285,6,43,123,43,913,18,26,31.0,22,30
392,Isaac Romero,FW,es ESP,25.0,Sevilla,es La Liga,2156,24.0,4,0,6.0,6.8,2,2.1,53,17,0.08,0.24,32.1,16.9,20,1.84,0.29,70.3,21,382,751,5,89,95,61,520,29,13,36.3,13,20
397,Issa Soumaré,"FW,MF",sn SEN,24.0,Le Havre,fr Ligue 1,1902,21.1,5,0,3.8000000000000003,3.8000000000000003,4,3.1,43,19,0.12000000000000001,0.26,44.2,16.5,28,2.46,0.43,61.2,61,495,839,7,87,144,32,596,84,36,60.0,25,41
399,Iván Sánchez,"MF,FW",es ESP,32.0,Valladolid,es La Liga,1404,15.6,2,0,0.7000000000000001,0.7000000000000001,1,2.9,15,5,0.13,0.4,33.3,21.1,24,4.11,0.32,71.4,60,467,755,9,22,93,21,520,11,15,50.0,37,51
400,Iñaki Williams,FW,gh GHA,30.0,Athletic Club,es La Liga,2652,29.5,6,0,7.6,7.6,8,7.8,63,24,0.1,0.25,38.1,16.4,43,2.72,0.48,63.3,107,739,1169,5,138,302,44,898,30,11,60.0,17,29
401,Jack Clarke,"FW,MF",eng ENG,24.0,Ipswich Town,eng Premier League,1181,13.1,0,0,1.2,1.2,4,2.3,17,2,0.0,0.0,11.8,18.9,28,3.81,0.38,76.8,39,311,553,11,38,57,22,338,7,17,28.0,32,39
403,Jack Harrison,FW,eng ENG,28.0,Everton,eng Premier League,2076,23.1,1,0,3.5,3.5,0,3.7,29,7,0.03,0.14,24.1,16.2,33,2.47,0.17,62.8,73,524,948,8,69,127,41,612,4,31,12.5,32,42
405,Jacob Murphy,FW,eng ENG,30.0,Newcastle Utd,eng Premier League,2360,26.2,8,0,5.7,5.7,12,8.9,43,15,0.19,0.53,34.9,18.2,42,3.13,0.57,68.5,79,733,1271,6,92,231,37,911,5,24,23.8,28,41
407,Jacob Ramsey,"FW,MF",eng ENG,23.0,Aston Villa,eng Premier League,1623,18.0,1,0,1.6,1.6,3,2.3,19,4,0.05,0.25,21.1,16.8,21,2.83,0.44,84.8,61,496,762,6,74,114,23,577,7,10,35.0,30,38
410,Jadon Sancho,FW,eng ENG,25.0,Chelsea,eng Premier League,1764,19.6,3,0,2.2,2.2,4,3.7,24,8,0.13,0.38,33.3,15.1,38,3.5700000000000003,0.51,82.6,102,653,975,7,121,225,21,760,6,7,35.3,13,15
415,Jamie Gittens,"FW,MF",eng ENG,20.0,Dortmund,de Bundesliga,1776,19.7,8,0,3.6,3.6,3,2.5,52,24,0.15,0.33,46.2,17.1,21,3.7,0.51,76.5,113,627,873,7,110,180,35,653,5,4,41.7,31,41
416,Jamie Leweling,"MF,FW",de GER,24.0,Stuttgart,de Bundesliga,1663,18.5,2,0,1.6,1.6,2,3.8,29,16,0.07,0.13,55.2,19.4,25,2.82,0.49,70.5,55,540,801,7,67,164,38,598,6,14,60.0,16,27
417,Jamie Vardy,FW,eng ENG,38.0,Leicester City,eng Premier League,2823,31.4,9,1,9.6,11.2,4,2.9999999999999996,56,23,0.14,0.35,41.1,12.1,19,1.4999999999999998,0.32,66.3,29,285,586,5,111,120,14,382,50,9,47.6,19,24
421,Jarrod Bowen,"FW,MF",eng ENG,28.0,West Ham,eng Premier League,2973,33.0,13,1,7.799999999999999,8.6,8,6.8,86,36,0.14,0.33,41.9,17.4,51,3.42,0.45,71.7,109,741,1252,16,171,212,77,834,12,21,20.0,41,57
423,Javi Puado,"FW,MF",es ESP,27.0,Espanyol,es La Liga,2974,33.0,12,5,7.7,11.6,4,3.0,66,19,0.11,0.37,28.8,20.7,22,1.66,0.21,76.8,73,623,985,4,102,113,33,703,9,12,23.1,22,27
426,Jean Mattéo Bahoya,"MF,FW",fr FRA,20.0,Eint Frankfurt,de Bundesliga,921,10.2,2,0,1.9000000000000001,1.9000000000000001,3,1.7000000000000002,10,3,0.2,0.67,30.0,17.1,18,4.01,0.59,74.3,24,267,475,5,33,93,17,293,13,10,65.0,29,33
427,Jean-Philippe Mateta,FW,fr FRA,27.0,Crystal Palace,eng Premier League,2648,29.4,14,2,11.999999999999998,13.6,2,3.2,68,29,0.18,0.41,42.6,15.5,29,2.21,0.34,65.1,45,401,739,2,95,122,45,540,63,13,37.1,18,20
428,Jean-Ricner Bellegarde,"MF,FW",fr FRA,26.0,Wolves,eng Premier League,1677,18.6,2,0,1.5,1.5,7,3.8000000000000003,22,5,0.09,0.4,22.7,21.2,27,3.06,0.59,79.3,52,528,843,3,48,89,29,592,10,6,34.5,39,49
430,Jens Odgaard,"MF,FW",dk DEN,26.0,Bologna,it Serie A,1952,21.7,6,0,3.6000000000000005,3.6000000000000005,1,1.8000000000000003,49,22,0.12,0.27,44.9,19.5,16,2.08,0.28,74.8,35,454,759,5,68,99,33,548,43,15,41.0,20,29
431,Jeong Woo-yeong,"MF,FW",kr KOR,25.0,Union Berlin,de Bundesliga,1263,14.0,3,0,2.8,2.8,2,1.7,25,6,0.12,0.5,24.0,18.5,18,3.4899999999999998,0.36,75.3,32,386,621,0,34,93,16,423,14,8,34.1,10,21
432,Jeremie Boga,"MF,FW",ci CIV,28.0,Nice,fr Ligue 1,1054,11.7,1,0,2.3,2.3,2,2.8,30,16,0.029999999999999995,0.06,53.3,17.0,24,4.36,0.26,82.7,64,338,529,3,57,75,17,408,3,4,42.9,10,13
434,Jeremy Doku,"FW,MF",be BEL,22.0,Manchester City,eng Premier League,1516,16.8,3,0,1.3,1.3,6,4.8,29,9,0.1,0.33,31.0,17.7,32,4.69,0.83,79.1,213,796,1027,10,161,286,59,854,0,7,0.0,31,35
437,Jesper Lindstrøm,FW,dk DEN,25.0,Everton,eng Premier League,1239,13.8,0,0,2.1,2.1,1,2.0,28,10,0.0,0.0,35.7,21.0,19,3.35,0.07,69.4,30,302,625,2,40,81,24,347,6,36,33.3,45,57
438,Jesus Rodríguez,FW,es ESP,19.0,Betis,es La Liga,1111,12.3,2,0,2.3,2.3,0,0.2,23,8,0.09,0.25,34.8,17.9,8,2.75,0.41,72.8,53,361,532,4,69,99,20,381,3,13,27.3,16,22
441,Jim Allevinah,FW,ga GAB,30.0,Angers,fr Ligue 1,1750,19.4,1,0,4.2,4.2,3,2.5,35,10,0.030000000000000002,0.1,28.6,14.5,15,2.0,0.36,75.2,57,435,682,4,65,99,32,483,10,23,29.4,19,31
443,Joe Willock,"MF,FW",eng ENG,25.0,Newcastle Utd,eng Premier League,1086,12.1,0,0,1.6,1.6,2,2.1,18,3,0.0,0.0,16.7,15.100000000000001,22,3.7299999999999995,0.33,82.6,38,325,533,3,55,86,23,372,5,13,26.3,30,36
444,Joel Pohjanpalo,FW,fi FIN,30.0,Venezia,it Serie A,1603,17.8,6,3,4.3,7.5,0,1.7,34,13,0.09,0.23,38.2,16.9,15,1.8499999999999999,0.17,60.3,9,249,491,0,66,72,11,343,46,4,43.8,3,7
445,Joelinton,"MF,FW",br BRA,28.0,Newcastle Utd,eng Premier League,2393,26.6,4,0,3.9000000000000004,3.9000000000000004,3,2.5,45,13,0.09,0.31,28.9,14.0,23,2.29,0.34,82.7,40,729,1360,11,83,110,53,934,59,19,56.2,57,80
446,Jofre,"MF,FW",es ESP,23.0,Espanyol,es La Liga,2165,24.1,3,0,2.5,2.5,3,2.5,40,10,0.08,0.3,25.0,19.5,24,2.33,0.21,67.0,65,535,839,3,71,156,40,576,5,10,22.7,22,37
448,Johannes Eggestein,FW,de GER,27.0,St. Pauli,de Bundesliga,1853,20.6,3,1,3.1,4.7,4,2.1,34,10,0.06,0.2,29.4,15.7,24,2.09,0.19,73.9,25,384,713,3,78,138,30,543,28,4,24.8,5,5
450,John McGinn,"MF,FW",sct SCO,30.0,Aston Villa,eng Premier League,2223,24.7,1,0,2.8,3.0999999999999996,4,3.5,31,5,0.03,0.2,16.1,17.0,31,3.0799999999999996,0.32,81.9,32,581,1072,9,58,87,29,744,17,18,58.6,33,47
451,John Yeboah,"FW,MF",ec ECU,24.0,Venezia,it Serie A,1226,13.6,1,0,3.0,3.0,1,1.9000000000000001,30,10,0.029999999999999995,0.1,33.3,16.6,20,3.8900000000000006,0.22,72.9,50,374,517,2,55,88,30,409,6,9,37.5,6,10
452,Jon Guridi,"MF,FW",es ESP,30.0,Alavés,es La Liga,2080,23.1,3,1,3.4,4.2,1,1.2,23,11,0.09,0.18,47.8,14.9,17,2.08,0.35000000000000003,74.2,27,471,940,7,60,90,17,587,47,26,41.6,40,54
455,Jonas Wind,"FW,MF",dk DEN,26.0,Wolfsburg,de Bundesliga,1966,21.8,9,1,4.0,5.7,3,4.2,38,11,0.21,0.73,28.900000000000002,13.4,34,2.97,0.27,70.6,17,450,810,1,88,94,28,637,98,4,49.5,10,16
457,Jonathan Burkardt,FW,de GER,24.0,Mainz 05,de Bundesliga,2109,23.4,18,2,13.199999999999998,14.8,2,3.0999999999999996,70,28,0.23,0.57,40.0,13.6,20,2.31,0.34,72.5,32,447,788,7,121,157,33,562,20,4,19.0,15,16
458,Jonathan David,FW,ca CAN,25.0,Lille,fr Ligue 1,2554,28.4,16,6,10.699999999999998,16.2,5,4.4,66,28,0.15,0.36,42.4,15.3,36,2.61,0.28,82.1,40,518,952,9,145,184,40,717,16,12,27.6,24,31
460,Jordan Ayew,"FW,MF",gh GHA,33.0,"Crystal Palace, Leicester City",eng Premier League,1659,18.4,5,1,2.3793478260869567,3.170652173913044,0,1.0880434782608697,32,8,0.1259375,,24.993750000000002,18.384375000000002,17,2.272173913043478,0.10880434782608696,74.38444444444444,49,485,810,6,56,87,41,549,38,16,31.940740740740743,28,40
461,Jordan Pefok,FW,us USA,29.0,"Reims, Union Berlin","fr Ligue 1, de Bundesliga",1288,14.3,1,0,2.5244755244755246,2.5244755244755246,1,0.8412587412587412,34,9,0.02911764705882353,0.1111111111111111,26.452941176470585,11.358823529411763,17,2.4478321678321677,0.0,71.02548076923077,6,210,416,5,60,47,25,270,54,5,54.637288135593224,14,20
462,Jorge de Frutos,"FW,MF",es ESP,28.0,Rayo Vallecano,es La Liga,2495,27.7,6,0,6.3,6.3,3,3.4,52,18,0.12000000000000001,0.33,34.6,15.900000000000002,31,2.24,0.36,68.3,77,605,1010,8,107,201,38,675,15,32,38.5,37,56
463,Joshua King,"FW,MF",no NOR,33.0,Toulouse,fr Ligue 1,1673,18.6,6,0,6.6,6.6,3,2.0,50,20,0.12,0.3,40.0,15.3,17,1.67,0.22,70.7,39,307,574,3,94,108,33,393,35,7,40.7,11,17
464,Joshua Zirkzee,"FW,MF",nl NED,24.0,Manchester Utd,eng Premier League,1402,15.6,3,0,4.8,4.8,1,1.5,28,11,0.11,0.27,39.3,13.1,12,1.99,0.19,71.2,14,327,587,3,56,69,30,418,21,5,28.0,14,20
465,Josué Casimir,"FW,MF",fr FRA,23.0,Le Havre,fr Ligue 1,1997,22.2,4,0,3.3,3.3,4,3.3999999999999995,27,9,0.15,0.44,33.3,15.7,26,2.7,0.36,68.7,71,465,814,7,76,151,30,526,9,9,28.1,37,44
470,João Pedro,"FW,MF",br BRA,23.0,Brighton,eng Premier League,1948,21.6,10,5,5.0,8.9,6,5.0,42,15,0.12,0.33,35.7,17.2,30,3.32,0.42000000000000004,72.9,66,616,940,4,122,128,38,732,41,7,48.79999999999999,16,25
471,Juan Cruz,"FW,MF",es ESP,25.0,Leganés,es La Liga,2257,25.1,5,0,2.7,2.7,4,4.1,33,14,0.15,0.36,42.4,21.0,24,2.03,0.24,68.2,59,543,951,2,41,131,24,570,15,18,44.1,32,45
472,Juanmi,"FW,MF",es ESP,32.0,"Getafe, Betis",es La Liga,940,10.4,0,0,2.3288461538461536,2.3288461538461536,0,0.32596153846153847,19,7,0.0,0.0,36.88421052631579,13.210526315789474,8,1.3365384615384617,0.09625,78.68723404255319,10,187,329,4,34,46,12,215,12,15,55.58148148148148,21,24
473,Juanmi Latasa,FW,es ESP,24.0,Valladolid,es La Liga,1398,15.5,3,0,4.2,4.2,0,0.9,40,13,0.08,0.23,32.5,11.8,13,1.93,0.0,59.2,3,153,390,2,74,40,18,291,90,4,60.8,4,4
475,Julio Enciso,"MF,FW",py PAR,21.0,"Ipswich Town, Brighton",eng Premier League,1163,13.0,2,0,1.5223076923076921,1.5223076923076921,3,1.0953846153846152,52,22,0.03692307692307692,0.09,42.323076923076925,22.346153846153847,18,3.1751538461538464,0.30592307692307685,68.0032894736842,34,319,608,3,43,61,39,403,14,9,39.82608695652174,12,13
477,Julián Álvarez,FW,ar ARG,25.0,Atlético Madrid,es La Liga,2509,27.9,17,4,11.0,14.1,4,5.3,70,36,0.19,0.36,51.4,18.3,41,3.87,0.54,74.2,79,776,1238,9,116,162,40,892,13,22,29.5,25,27
478,Junior Adamu,FW,at AUT,23.0,Freiburg,de Bundesliga,1545,17.2,2,0,5.5,5.5,2,2.4,36,11,0.060000000000000005,0.18,30.600000000000005,12.4,17,1.69,0.17,63.5,8,275,534,3,80,84,24,350,53,8,32.9,9,21
484,Junya Ito,"FW,MF",jp JPN,32.0,Reims,fr Ligue 1,2690,29.9,4,0,4.6,4.6,3,7.1,31,11,0.13,0.36,35.5,13.7,82,4.32,0.3,66.8,100,837,1533,10,83,256,39,1034,17,43,37.8,45,58
486,Justin Njinmah,"FW,MF",de GER,24.0,Werder Bremen,de Bundesliga,952,10.6,3,0,3.7,3.7,2,1.6,31,8,0.1,0.38,25.8,14.6,12,3.69,0.37999999999999995,61.699999999999996,33,230,349,1,58,103,7,264,15,2,42.9,6,9
491,Jørgen Strand Larsen,FW,no NOR,25.0,Wolves,eng Premier League,2587,28.7,14,0,10.3,10.3,4,3.0,54,33,0.26,0.42,61.1,11.3,21,1.46,0.21,64.6,17,345,736,5,108,112,34,534,67,23,40.1,10,16
492,Kai Havertz,"FW,MF",de GER,25.0,Arsenal,eng Premier League,1874,20.8,9,0,9.5,9.5,3,2.4,53,21,0.16999999999999998,0.43,39.6,11.6,17,2.02,0.14,78.4,35,418,785,7,107,113,23,584,63,11,44.7,16,22
493,Kamaldeen Sulemana,"FW,MF",gh GHA,23.0,Southampton,eng Premier League,1402,15.6,1,0,1.5,1.5,1,1.0,29,8,0.03,0.13,27.6,18.6,10,1.93,0.19,79.8,63,380,587,8,59,87,25,410,13,5,32.5,22,28
494,Kamory Doumbia,"MF,FW",ml MLI,22.0,Brest,fr Ligue 1,1322,14.7,3,0,2.7,2.7,2,1.2,22,10,0.14,0.3,45.5,16.7,26,3.95,0.48,80.5,17,467,895,7,34,54,24,567,10,17,31.3,41,69
496,Kaoru Mitoma,"FW,MF",jp JPN,28.0,Brighton,eng Premier League,2603,28.9,10,0,9.199999999999998,9.199999999999998,4,4.599999999999999,57,27,0.18,0.37,47.4,13.9,37,3.01,0.35,75.8,146,830,1375,16,164,291,23,966,26,30,49.1,45,59
497,Karim Adeyemi,"FW,MF",de GER,23.0,Dortmund,de Bundesliga,1433,15.9,7,0,5.5,5.5,6,6.0,46,18,0.15,0.39,39.1,17.6,28,3.58,0.69,74.3,68,417,636,8,88,153,31,465,9,12,40.9,20,27
503,Keane Lewis-Potter,"DF,FW",eng ENG,24.0,Brentford,eng Premier League,3093,34.4,1,0,3.1,3.1,3,3.2,28,14,0.04,0.07,50.0,20.2,26,2.07,0.23,77.1,98,867,1613,7,74,156,20,965,27,19,43.5,49,70
504,Keinan Davis,FW,eng ENG,27.0,Udinese,it Serie A,1066,11.8,2,0,2.9,2.9,1,2.1,29,11,0.07,0.18,37.9,12.7,20,2.95,0.17,75.6,26,231,404,4,67,77,25,325,37,3,48.1,9,10
506,Keito Nakamura,"FW,MF",jp JPN,24.0,Reims,fr Ligue 1,2649,29.4,11,0,9.1,9.1,2,2.9,84,32,0.13,0.34,38.1,16.8,26,2.31,0.24,74.2,90,675,1110,7,129,197,43,776,7,20,33.3,24,37
509,Kenan Yıldız,"FW,MF",tr TUR,20.0,Juventus,it Serie A,2402,26.7,7,0,4.3,4.3,4,5.0,61,22,0.11,0.32,36.1,17.5,57,4.87,0.37,79.7,115,964,1485,15,103,223,41,1116,8,14,23.5,54,59
512,Kevin De Bruyne,"MF,FW",be BEL,33.0,Manchester City,eng Premier League,1702,18.9,4,0,5.1,5.1,7,8.0,57,15,0.07,0.2700000000000001,26.3,21.4,57,5.97,0.58,75.9,51,812,1368,5,79,150,28,1021,5,18,23.8,17,24
513,Kevin Schade,FW,de GER,23.0,Brentford,eng Premier League,2293,25.5,11,0,8.2,8.2,2,3.7,55,27,0.2,0.4099999999999999,49.1,11.5,23,2.24,0.35,59.70000000000001,61,434,883,12,146,165,36,543,90,10,52.9,39,44
516,Khalil Fayad,"MF,FW",fr FRA,20.0,Montpellier,fr Ligue 1,1028,11.4,0,0,1.3,1.3,0,0.3,17,3,0.0,0.0,17.6,23.2,7,1.66,0.09,82.9,25,340,663,2,17,42,13,426,9,13,60.0,31,41
517,Khvicha Kvaratskhelia,FW,ge GEO,24.0,"Napoli, Paris S-G","it Serie A, fr Ligue 1",2094,23.299999999999997,9,1,3.356223175965665,3.749785407725322,6,4.225321888412017,83,31,0.0963855421686747,0.25967741935483873,37.369879518072295,19.23614457831325,53,5.024163090128756,0.6044635193133048,81.03119819140919,124,849,1327,4,145,220,46,1026,7,21,41.19642857142857,34,40
521,Kiké,FW,es ESP,35.0,Alavés,es La Liga,2542,28.2,13,3,7.2,9.6,0,0.9,60,24,0.17,0.42,40.0,15.4,13,1.35,0.14,65.3,25,548,894,6,120,158,42,719,110,11,52.4,19,20
523,Kingsley Coman,FW,fr FRA,28.0,Bayern Munich,de Bundesliga,1282,14.2,5,0,4.3,4.3,4,3.3,44,17,0.11,0.29,38.6,16.7,32,5.68,0.77,84.3,66,606,934,5,85,215,18,733,11,4,40.7,17,25
529,Kylian Mbappé,FW,fr FRA,26.0,Real Madrid,es La Liga,2907,32.3,31,7,18.6,25.9,3,7.7,152,75,0.16,0.32,49.3,17.3,51,4.12,0.46,82.9,150,1065,1572,4,320,386,49,1355,4,4,40.0,8,9
532,Lamine Yamal,FW,es ESP,17.0,Barcelona,es La Liga,2856,31.7,9,0,9.9,9.9,13,13.9,144,46,0.060000000000000005,0.2,31.899999999999995,19.4,64,5.92,0.91,74.8,181,1485,2094,17,226,433,49,1723,1,22,25.0,42,58
534,Lassine Sinayoko,"FW,MF",ml MLI,25.0,Auxerre,fr Ligue 1,2299,25.5,5,1,5.7,6.5,8,5.5,60,16,0.07,0.25,26.7,16.1,37,3.76,0.78,76.7,53,576,993,9,127,193,43,690,27,12,29.7,33,46
536,Lautaro Martínez,FW,ar ARG,27.0,Inter,it Serie A,2564,28.5,12,0,13.5,13.5,3,4.3,102,34,0.12,0.35,33.3,13.8,36,2.7,0.28,74.4,34,625,981,8,162,197,54,754,35,12,47.89999999999999,30,40
538,Leandro Trossard,FW,be BEL,30.0,Arsenal,eng Premier League,2546,28.3,8,0,7.2,7.2,7,6.1,72,21,0.11,0.38,29.200000000000003,15.899999999999999,41,3.29,0.28,74.5,80,828,1278,9,158,226,52,956,6,22,20.0,31,40
539,Lee Kang-in,"FW,MF",kr KOR,24.0,Paris S-G,fr Ligue 1,1663,18.5,6,0,3.5,3.5,6,5.6,41,14,0.15,0.43,34.1,19.0,56,5.26,0.33,87.5,50,938,1432,7,68,138,26,1172,5,16,33.3,25,28
540,Leon Bailey,"FW,MF",jm JAM,27.0,Aston Villa,eng Premier League,1139,12.7,1,0,1.7000000000000002,1.7000000000000002,2,1.4999999999999998,28,6,0.04,0.17,21.4,17.3,16,3.01,0.32,71.0,58,348,545,2,70,121,25,390,6,8,40.0,7,10
542,Leonardo Spinazzola,"DF,FW",it ITA,32.0,Napoli,it Serie A,1517,16.9,1,0,0.8,0.8,1,3.5,12,4,0.08,0.25,33.3,17.1,26,2.79,0.18,79.3,83,603,1051,2,38,81,18,679,3,13,50.0,17,26
543,Leroy Sané,FW,de GER,29.0,Bayern Munich,de Bundesliga,1637,18.2,11,0,10.2,10.2,5,5.5,67,29,0.16,0.38,43.3,16.6,36,4.18,0.49,82.5,75,787,1184,11,121,266,27,953,7,11,53.8,23,30
544,Liam Delap,FW,eng ENG,22.0,Ipswich Town,eng Premier League,2593,28.8,12,2,7.799999999999999,9.3,2,1.9,66,29,0.15,0.34,43.9,16.0,21,2.15,0.24,61.3,61,445,682,5,92,110,60,537,55,13,42.6,11,13
545,Lilian Raolisoa,"DF,FW",fr FRA,24.0,Angers,fr Ligue 1,1318,14.6,0,0,0.7,0.7,3,2.0,14,1,0.0,0.0,7.1,23.2,14,2.19,0.27,69.5,33,404,751,4,19,62,16,435,15,21,57.70000000000001,41,56
549,Lorenzo Colombo,"FW,MF",it ITA,23.0,Empoli,it Serie A,2233,24.8,6,1,5.1,5.9,2,2.9,55,18,0.09,0.28,32.7,18.1,21,2.21,0.12,67.5,27,438,837,8,83,116,52,547,53,14,30.5,31,33
550,Lorenzo Lucca,FW,it ITA,24.0,Udinese,it Serie A,2353,26.1,12,1,6.800000000000001,7.6000000000000005,1,1.6,64,25,0.17,0.44,39.1,13.6,14,1.26,0.15,64.1,15,349,642,5,109,98,28,478,59,6,46.5,10,16
553,Loïc Nego,"DF,FW",hu HUN,34.0,Le Havre,fr Ligue 1,2459,27.3,0,0,0.8000000000000002,0.8000000000000002,0,0.7,11,2,0.0,0.0,18.2,17.1,13,1.61,0.15,75.1,64,742,1469,5,34,123,9,900,19,23,55.89999999999999,58,87
554,Loïs Openda,"FW,MF",be BEL,25.0,RB Leipzig,de Bundesliga,2453,27.3,9,0,8.2,9.0,5,3.3999999999999995,77,31,0.12000000000000001,0.29,40.3,16.8,28,2.42,0.37,63.8,58,521,904,2,158,229,27,718,19,8,38.0,9,14
555,Lucas Beltrán,"FW,MF",ar ARG,24.0,Fiorentina,it Serie A,1953,21.7,5,2,3.1,5.4,4,3.0,26,6,0.12000000000000001,0.5,23.1,15.900000000000002,29,2.9,0.4099999999999999,77.5,23,468,791,6,51,94,41,592,32,14,37.6,23,28
556,Lucas Höler,"FW,MF",de GER,30.0,Freiburg,de Bundesliga,1867,20.7,6,0,6.900000000000001,7.699999999999999,4,2.9,34,17,0.18,0.35,50.0,10.8,22,2.46,0.29,65.5,21,395,854,4,89,122,24,571,80,15,56.7,37,44
559,Lucas Paquetá,"MF,FW",br BRA,27.0,West Ham,eng Premier League,2380,26.4,4,2,3.6999999999999997,5.3,0,3.1,39,3,0.05,0.67,7.7,19.5,36,3.1,0.23,77.3,26,921,1796,11,59,85,51,1268,48,28,45.7,66,84
560,Lucas Stassin,FW,be BEL,20.0,Saint-Étienne,fr Ligue 1,1887,21.0,12,0,7.0,7.0,4,3.3999999999999995,44,23,0.27,0.52,52.3,14.1,18,1.6999999999999997,0.4,74.0,26,326,655,8,85,149,20,455,15,14,34.1,16,19
561,Ludovic Ajorque,FW,fr FRA,31.0,Brest,fr Ligue 1,2495,27.7,13,0,9.6,10.4,2,3.1,53,25,0.25,0.52,47.20000000000001,12.1,35,2.17,0.29,68.9,10,410,914,11,125,124,11,658,133,22,52.4,26,32
562,Ludovic Blas,"MF,FW",fr FRA,27.0,Rennes,fr Ligue 1,2293,25.5,6,0,5.0,5.0,8,4.6,57,26,0.11000000000000001,0.23,45.6,17.7,47,4.2,0.63,73.9,83,781,1262,17,105,184,46,919,11,19,22.9,38,51
563,Luis Díaz,FW,co COL,28.0,Liverpool,eng Premier League,2399,26.7,13,0,12.0,12.0,5,5.0,71,30,0.18,0.43,42.3,13.4,56,4.39,0.6,84.2,108,780,1184,6,167,293,49,933,13,24,25.5,39,46
565,Luis Henrique,"DF,FW",br BRA,23.0,Marseille,fr Ligue 1,2613,29.0,7,0,4.2,4.2,7,4.2,30,14,0.23,0.5,46.7,14.6,53,3.62,0.52,81.0,84,1015,1643,3,79,280,19,1282,0,1,0.0,16,26
566,Luis Rioja,FW,es ESP,31.0,"Alavés, Valencia",es La Liga,2854,31.8,5,2,1.6839622641509433,3.2688679245283017,3,4.458490566037736,28,12,,,,,36,2.622264150943396,0.3169811320754717,67.48092105263157,97,824,1520,8,61,231,40,1041,15,29,,35,57
573,Léo Scienza,"FW,MF",br BRA,26.0,Heidenheim,de Bundesliga,1153,12.8,3,0,2.0,2.0,3,3.7,38,15,0.08,0.2,39.5,21.7,34,6.39,0.55,66.3,70,368,584,2,44,90,13,369,3,11,18.8,17,22
574,M'Bala Nzola,FW,ao ANG,28.0,Lens,fr Ligue 1,1460,16.2,6,0,8.6,8.6,1,1.3,47,18,0.13,0.33,38.3,12.099999999999998,20,2.4,0.31,75.2,26,284,490,4,95,118,47,381,38,6,51.4,5,10
576,Maghnes Akliouche,"FW,MF",fr FRA,23.0,Monaco,fr Ligue 1,2406,26.7,5,1,8.4,9.2,10,7.3,61,17,0.07,0.24,27.9,16.0,49,4.45,0.71,81.3,127,999,1566,15,156,226,47,1149,5,22,17.9,51,66
577,Mahdi Camara,"MF,FW",fr FRA,26.0,Brest,fr Ligue 1,2659,29.5,5,0,4.1,4.1,3,2.0,49,19,0.1,0.26,38.8,16.6,26,2.4,0.24,85.8,58,828,1530,17,78,112,28,999,17,22,35.4,71,104
578,Malick Fofana,FW,be BEL,20.0,Lyon,fr Ligue 1,1589,17.7,5,0,3.8,3.8,4,3.6999999999999997,31,15,0.16,0.33,48.4,15.0,25,3.12,0.62,77.4,112,587,828,3,95,205,18,645,2,9,14.3,22,30
579,Mama Samba Baldé,FW,gw GNB,29.0,"Lyon, Brest",fr Ligue 1,1182,13.200000000000001,2,0,2.912121212121212,2.912121212121212,3,2.0363636363636366,30,8,0.06766666666666668,,26.680000000000003,15.563333333333334,16,3.273030303030303,0.37818181818181823,72.11291759465479,36,264,449,5,64,102,20,320,36,11,42.9404255319149,15,22
581,Mamadou Sylla,"FW,MF",sn SEN,31.0,Valladolid,es La Liga,1583,17.6,5,4,2.0,5.1,1,1.7,18,3,0.060000000000000005,0.33,16.7,17.4,14,1.25,0.28,62.8,15,188,431,2,37,52,20,284,41,7,41.4,8,11
583,Manuel Fuster,"FW,MF",es ESP,27.0,Las Palmas,es La Liga,1003,11.1,2,0,0.7,0.7,1,1.8,18,7,0.11,0.29,38.9,23.2,28,5.02,0.54,76.6,23,410,742,6,23,75,16,533,3,13,18.8,19,23
588,Marco Grüll,"FW,MF",at AUT,26.0,Werder Bremen,de Bundesliga,1181,13.1,6,0,4.0,4.0,1,1.7999999999999998,25,10,0.24,0.6,40.0,15.9,11,3.13,0.38,76.8,24,317,495,6,53,93,39,361,5,13,20.8,12,15
589,Marcos André,FW,br BRA,28.0,Valladolid,es La Liga,1188,13.2,1,0,2.7,2.7,2,0.8,22,2,0.05,0.5,9.1,14.0,9,1.44,0.08,65.7,11,195,372,2,32,39,23,255,47,8,51.6,10,13
590,Marcus Rashford,FW,eng ENG,27.0,"Manchester Utd, Aston Villa",eng Premier League,1422,15.8,6,1,1.8860759493670887,2.1341772151898732,3,2.1620253164556957,34,14,0.14941176470588236,0.35428571428571426,41.21176470588235,17.988235294117644,28,3.544556962025317,0.25126582278481013,72.94917541229385,42,420,667,8,64,121,7,490,6,8,35.142857142857146,17,22
